concept id	name	element file id
FMA67165	material anatomical entity	FJ3483
FMA67135	anatomical structure	FJ3439
FMA256237	segment of neuraxis	FJ1817
FMA37698	lateral head of left triceps brachii	FJ1477M
FMA67135	anatomical structure	FJ1512
FMA5018	bone organ	FJ3380
FMA67498	organ	FJ1402
FMA61775	physical anatomical entity	FJ3168
FMA45729	head of organ	FJ1478
FMA61775	physical anatomical entity	FJ3309
FMA76269	branch of basilar artery	FJ1720M
FMA62955	anatomical entity	FJ3225
FMA61775	physical anatomical entity	FJ3218
FMA62955	anatomical entity	FJ3219
FMA70504	subdivision of common carotid artery	FJ1717M
FMA8337	ninth rib	FJ3348
FMA61775	physical anatomical entity	FJ1403
FMA52698	right infratrochlear nerve	FJ1347
FMA7477	irregular bone	FJ3176
FMA14319	suprascapular vein	FJ2302
FMA55673	organ with cavitated organ parts	FJ3259
FMA67619	organ region	FJ2476
FMA67165	material anatomical entity	FJ3081
FMA67619	organ region	FJ3527
FMA67165	material anatomical entity	FJ3165
FMA45890	short head of biceps femoris	FJ1444M
FMA67619	organ region	FJ1467M
FMA67135	anatomical structure	FJ1513M
FMA7620	second rib	FJ3336
FMA9411	segmental pulmonary vein	FJ3026
FMA62955	anatomical entity	FJ3262
FMA61775	physical anatomical entity	FJ3287
FMA7749	fourth rib	FJ3340
FMA55665	nonparenchymatous organ	FJ3202
FMA67498	organ	FJ3165
FMA67619	organ region	FJ1433M
FMA62955	anatomical entity	FJ1295
FMA67135	anatomical structure	FJ3212
FMA67498	organ	FJ2779
FMA10446	intervertebral disk	FJ3213
FMA5018	bone organ	FJ3282
FMA22930	tributary of subclavian vein	FJ2272
FMA86140	organ segment	FJ2948
FMA67135	anatomical structure	FJ3173
FMA67165	material anatomical entity	FJ1418M
FMA67135	anatomical structure	FJ3208
FMA62955	anatomical entity	FJ3210
FMA61775	physical anatomical entity	FJ2491
FMA62955	anatomical entity	FJ3230
FMA38491	superficial muscle of posterior compartment of forearm	FJ1487M
FMA67135	anatomical structure	FJ3169
FMA70429	subdivision of celiac artery	FJ3078
FMA55107	cartilage organ	FJ3212
FMA50722	region of vascular tree organ	FJ3590
FMA82472	cardinal organ part	FJ3640
FMA62955	anatomical entity	FJ1515
FMA67135	anatomical structure	FJ3626
FMA55673	organ with cavitated organ parts	FJ3177
FMA5022	muscle organ	FJ1487M
FMA62955	anatomical entity	FJ2776
FMA10446	intervertebral disk	FJ3210
FMA67135	anatomical structure	FJ2714
